cliente_id,nombre_cliente,pais,industria,fecha_registro
1,Cliente_1,Brasil,Finanzas,2020-10-05
2,Cliente_2,Alemania,Manufactura,2015-06-29
3,Cliente_3,Japón,Salud,2015-08-20
4,Cliente_4,Japón,Finanzas,2020-04-01
5,Cliente_5,Brasil,Tecnología,2015-12-09
6,Cliente_6,Japón,Finanzas,2016-04-21
7,Cliente_7,Estados Unidos,Salud,2019-12-28
8,Cliente_8,Estados Unidos,Tecnología,2022-03-08
9,Cliente_9,Estados Unidos,Educación,2016-03-30
10,Cliente_10,Japón,Tecnología,2018-06-09
11,Cliente_11,Estados Unidos,Educación,2015-10-16
12,Cliente_12,Brasil,Tecnología,2018-05-21
13,Cliente_13,Japón,Salud,2021-04-24
14,Cliente_14,Sudáfrica,Salud,2016-06-13
15,Cliente_15,Japón,Tecnología,2022-06-27
16,Cliente_16,Brasil,Finanzas,2023-02-24
17,Cliente_17,Sudáfrica,Salud,2021-03-26
18,Cliente_18,Japón,Educación,2016-08-18
19,Cliente_19,Estados Unidos,Educación,2016-03-10
20,Cliente_20,Alemania,Manufactura,2017-05-31
21,Cliente_21,Alemania,Educación,2023-05-27
22,Cliente_22,Estados Unidos,Manufactura,2019-11-17
23,Cliente_23,Alemania,Tecnología,2016-02-06
24,Cliente_24,Alemania,Tecnología,2022-04-23
25,Cliente_25,Estados Unidos,Tecnología,2020-11-05
26,Cliente_26,Estados Unidos,Finanzas,2022-03-16
27,Cliente_27,Japón,Finanzas,2019-04-15
28,Cliente_28,Japón,Manufactura,2015-11-05
29,Cliente_29,Estados Unidos,Educación,2023-02-01
30,Cliente_30,Brasil,Educación,2015-12-09
31,Cliente_31,Alemania,Tecnología,2016-03-11
32,Cliente_32,Japón,Salud,2015-06-26
33,Cliente_33,Alemania,Finanzas,2015-05-19
34,Cliente_34,Sudáfrica,Finanzas,2015-07-13
35,Cliente_35,Estados Unidos,Tecnología,2023-12-02
36,Cliente_36,Brasil,Finanzas,2023-11-10
37,Cliente_37,Sudáfrica,Tecnología,2018-03-30
38,Cliente_38,Sudáfrica,Manufactura,2017-07-31
39,Cliente_39,Sudáfrica,Educación,2016-06-08
40,Cliente_40,Estados Unidos,Salud,2019-06-13
41,Cliente_41,Japón,Educación,2023-07-11
42,Cliente_42,Estados Unidos,Educación,2023-02-10
43,Cliente_43,Japón,Manufactura,2021-03-07
44,Cliente_44,Sudáfrica,Finanzas,2017-01-10
45,Cliente_45,Sudáfrica,Salud,2017-05-11
46,Cliente_46,Brasil,Finanzas,2017-08-11
47,Cliente_47,Japón,Educación,2018-07-26
48,Cliente_48,Sudáfrica,Tecnología,2018-06-28
49,Cliente_49,Alemania,Educación,2019-10-10
50,Cliente_50,Brasil,Finanzas,2022-11-20
51,Cliente_51,Estados Unidos,Educación,2020-12-27
52,Cliente_52,Brasil,Tecnología,2017-03-02
53,Cliente_53,Alemania,Manufactura,2016-06-29
54,Cliente_54,Japón,Finanzas,2020-01-19
55,Cliente_55,Estados Unidos,Educación,2017-10-13
56,Cliente_56,Estados Unidos,Finanzas,2020-04-11
57,Cliente_57,Japón,Manufactura,2019-04-03
58,Cliente_58,Brasil,Educación,2015-02-26
59,Cliente_59,Sudáfrica,Educación,2020-11-29
60,Cliente_60,Brasil,Finanzas,2015-01-05
61,Cliente_61,Alemania,Finanzas,2018-12-08
62,Cliente_62,Sudáfrica,Tecnología,2023-11-28
63,Cliente_63,Brasil,Manufactura,2023-06-12
64,Cliente_64,Japón,Tecnología,2018-09-24
65,Cliente_65,Alemania,Educación,2019-12-26
66,Cliente_66,Alemania,Finanzas,2018-07-06
67,Cliente_67,Alemania,Educación,2020-11-07
68,Cliente_68,Sudáfrica,Educación,2022-04-17
69,Cliente_69,Estados Unidos,Salud,2023-01-17
70,Cliente_70,Sudáfrica,Salud,2022-07-08
71,Cliente_71,Brasil,Educación,2018-06-27
72,Cliente_72,Estados Unidos,Finanzas,2023-01-24
73,Cliente_73,Brasil,Educación,2023-04-07
74,Cliente_74,Estados Unidos,Salud,2018-02-05
